x_top,Cp_top,x_bot,Cp_bot
0,-2.319710781,0.017,0.9858770819
0.004,-3.59555171,0.042,0.7539060038
0.016,-3.073616785,0.083,0.5799276952
0.033,-2.667667398,0.124,0.4059493867
0.05,-2.49368909,0.206,0.3479566171
0.071,-1.855768625,0.289,0.2899638476
0.099,-1.681790316,0.396,0.2319710781
0.135,-1.449819238,0.504,0.2319710781
0.185,-1.27584093,0.611,0.2319710781
0.235,-1.15985539,0.719,0.2319710781
0.285,-1.043869851,0.826,0.2319710781
0.335,-0.9858770819,0.908,0.2319710781
0.385,-0.8698915429,0.958,0.2319710781
0.434,-0.7539060038,,
0.484,-0.6379204648,,
0.534,-0.5799276952,,
0.584,-0.4639421562,,
0.634,-0.4059493867,,
0.684,-0.3479566171,,
0.734,-0.2899638476,,
0.784,-0.2319710781,,
0.833,-0.1739783086,,
0.883,-0.115985539,,
0.933,-0.115985539,,
