Temperature [K],Temperature [C],Electrical Resistivity [10^-8 ohm-m],Thermal Conductivity [W/m-K]
1,-272.15,48.5,0.069
4,-269.15,48.5,0.305
10,-263.15,48.5,0.875
20,-253.15,48.3,1.99
30,-243.15,48.2,3.27
40,-233.15,48.3,4.65
50,-223.15,48.5,6.02
60,-213.15,48.9,7.11
70,-203.15,49.5,7.98
80,-193.15,50.3,8.69
90,-183.15,51.2,9.26
100,-173.15,52.2,9.75
150,-123.15,57.5,11.55
200,-73.15,62.7,12.89
250,-23.15,67.5,13.9
273,-0.15,69.6,14.39
293,19.85,71.3,14.76
300,26.85,71.9,14.89
350,76.85,76,15.79
400,126.85,79.8,16.61
500,226.85,86.8,18.28
600,326.85,93.3,19.77
700,426.85,99.2,21.21
800,526.85,104.3,22.59
900,626.85,108.6,23.99
1000,726.85,112.5,25.33
