Time [s],Ch 1 [C],Ch 2 [C],Ch 3 [C],Ch 4 [C],Ch 5 [C],Ch 6 [C],Ch 7 [C],Ch 8 [C],Ch 9 [C],Ch 10 [C],Ch 11 [C],Ch 12 [C],Ch 13 [C],Ch 14 [C],Ch 15 [C],T_Jet [C],Ch 16 [C],Ch 17 [C],Ch 18 [C],Ch 19 [C],Ch 20 [C],Ch 21 [C],Ch 22 [C],Ch 23 [C],Ch 25 [C],Ch 26 [C],Ch 27 [C],Ch 28 [C],Ch 29 [C],Ch 30 [C],Ch 31 [C],T_ambient [C],T_Heat Flux [C],Heat Flux [W/m^2],P_heater [W]
0,39.984,40.057,40.148,40.093,40.091,40.071,39.992,39.95,39.885,39.962,39.987,40.069,40.009,39.965,39.888,21.522,40.063,40.289,40.221,40.295,40.341,40.372,40.277,40.276,40.277,40.225,40.093,40.18,40.163,40.017,39.782,21.761,41.905,0.066,99.78
5.203,40.073,40.141,40.234,40.171,40.171,40.164,40.07,40.024,39.96,40.014,40.055,40.138,40.086,40.044,39.969,21.511,40.131,40.361,40.298,40.376,40.424,40.441,40.346,40.349,40.352,40.306,40.154,40.257,40.22,40.103,39.847,21.758,41.965,0.057,99.781
7.844,40.124,40.181,40.299,40.226,40.228,40.235,40.141,40.108,40.016,40.087,40.12,40.211,40.144,40.115,40.026,21.514,40.204,40.42,40.37,40.433,40.482,40.511,40.412,40.403,40.415,40.366,40.231,40.319,40.296,40.144,39.919,21.767,42.044,0.047,99.779
10.562,40.176,40.235,40.353,40.286,40.288,40.278,40.193,40.157,40.071,40.146,40.189,40.29,40.224,40.167,40.097,21.52,40.271,40.502,40.447,40.503,40.56,40.568,40.489,40.469,40.481,40.439,40.303,40.39,40.373,40.225,39.988,21.771,42.129,0.06,99.777
0,46.208,46.264,46.356,46.305,46.319,46.334,46.222,46.187,46.102,46.184,46.226,46.317,46.264,46.206,46.116,21.566,46.311,46.556,46.495,46.547,46.584,46.596,46.49,46.47,46.496,46.448,46.304,46.404,46.367,46.223,46.007,21.71,47.705,0.149,100.372
2.672,46.259,46.33,46.425,46.367,46.368,46.381,46.304,46.267,46.145,46.249,46.286,46.373,46.309,46.26,46.184,21.561,46.366,46.612,46.553,46.602,46.639,46.657,46.557,46.53,46.572,46.51,46.372,46.461,46.429,46.297,46.052,21.736,47.789,0.146,100.37
5.297,46.333,46.391,46.487,46.428,46.427,46.453,46.349,46.312,46.229,46.327,46.354,46.441,46.385,46.323,46.251,21.566,46.419,46.671,46.615,46.668,46.719,46.75,46.629,46.604,46.621,46.557,46.435,46.505,46.496,46.342,46.112,21.736,47.874,0.155,100.368
7.953,46.393,46.455,46.553,46.506,46.508,46.516,46.417,46.378,46.278,46.387,46.405,46.512,46.441,46.391,46.319,21.57,46.485,46.733,46.705,46.742,46.787,46.801,46.699,46.671,46.695,46.649,46.497,46.578,46.562,46.418,46.179,21.698,47.93,0.161,100.369
10.594,46.461,46.535,46.616,46.568,46.561,46.572,46.471,46.439,46.348,46.442,46.471,46.566,46.51,46.459,46.35,21.559,46.551,46.793,46.738,46.785,46.845,46.856,46.763,46.737,46.753,46.697,46.561,46.648,46.63,46.463,46.243,21.714,48.024,0.159,100.368
13.234,46.502,46.584,46.678,46.615,46.618,46.621,46.534,46.509,46.41,46.514,46.547,46.636,46.566,46.525,46.432,21.549,46.602,46.86,46.812,46.859,46.904,46.926,46.826,46.799,46.822,46.76,46.63,46.708,46.691,46.522,46.298,21.71,48.105,0.153,100.366
15.875,46.567,46.66,46.742,46.689,46.707,46.689,46.6,46.554,46.476,46.576,46.596,46.693,46.634,46.58,46.496,21.566,46.676,46.91,46.855,46.929,46.974,46.982,46.878,46.85,46.892,46.836,46.706,46.765,46.73,46.588,46.356,21.71,48.167,0.163,100.366
18.516,46.654,46.722,46.805,46.757,46.758,46.765,46.659,46.624,46.554,46.621,46.645,46.759,46.695,46.633,46.545,21.557,46.744,46.977,46.921,46.988,47.035,47.058,46.941,46.907,46.952,46.906,46.754,46.835,46.806,46.66,46.432,21.723,48.248,0.175,100.366
21.156,46.695,46.79,46.877,46.823,46.826,46.83,46.703,46.692,46.601,46.693,46.725,46.802,46.751,46.689,46.613,21.553,46.801,47.053,46.994,47.046,47.099,47.107,46.995,46.985,47.001,46.964,46.815,46.909,46.862,46.728,46.479,21.707,48.332,0.164,100.364
23.797,46.771,46.823,46.937,46.868,46.883,46.884,46.774,46.77,46.656,46.765,46.781,46.874,46.81,46.752,46.679,21.555,46.853,47.107,47.056,47.115,47.165,47.167,47.073,47.037,47.065,47.019,46.877,46.965,46.93,46.791,46.545,21.694,48.401,0.183,100.363
26.437,46.826,46.901,46.982,46.948,46.953,46.97,46.859,46.825,46.73,46.812,46.851,46.944,46.884,46.826,46.73,21.561,46.927,47.179,47.114,47.173,47.22,47.232,47.138,47.103,47.13,47.074,46.934,47.024,46.993,46.859,46.623,21.726,48.454,0.191,100.363
29.078,46.894,46.975,47.052,47.005,46.992,47.005,46.916,46.881,46.777,46.888,46.908,46.997,46.935,46.884,46.787,21.576,46.982,47.236,47.194,47.247,47.282,47.302,47.194,47.193,47.186,47.155,47.004,47.092,47.059,46.915,46.687,21.707,48.556,0.202,100.363
31.734,46.943,47.026,47.111,47.071,47.08,47.081,46.976,46.946,46.845,46.956,46.96,47.057,46.999,46.927,46.857,21.574,47.038,47.296,47.249,47.292,47.35,47.372,47.253,47.234,47.254,47.214,47.076,47.151,47.125,46.987,46.748,21.698,48.622,0.185,100.362
34.375,47.031,47.1,47.189,47.133,47.144,47.151,47.046,47.01,46.911,47.001,47.029,47.122,47.073,47.023,46.948,21.568,47.112,47.361,47.302,47.358,47.399,47.417,47.323,47.312,47.311,47.282,47.121,47.217,47.186,47.036,46.808,21.688,48.722,0.189,100.36
37.016,47.083,47.155,47.245,47.196,47.197,47.208,47.074,47.055,46.983,47.065,47.097,47.186,47.129,47.065,46.987,21.57,47.169,47.425,47.383,47.428,47.483,47.495,47.403,47.372,47.391,47.317,47.181,47.266,47.26,47.093,46.867,21.71,48.784,0.206,100.358
39.656,47.134,47.205,47.304,47.264,47.269,47.268,47.16,47.123,47.028,47.116,47.142,47.239,47.176,47.128,47.046,21.557,47.229,47.495,47.438,47.483,47.526,47.542,47.432,47.439,47.451,47.391,47.257,47.342,47.314,47.157,46.929,21.701,48.84,0.21,100.357
42.297,47.212,47.26,47.374,47.313,47.335,47.315,47.236,47.201,47.087,47.192,47.218,47.311,47.241,47.186,47.114,21.561,47.282,47.563,47.495,47.563,47.59,47.612,47.504,47.497,47.506,47.461,47.331,47.398,47.379,47.217,46.98,21.694,48.918,0.208,100.357
44.953,47.294,47.352,47.419,47.385,47.386,47.395,47.312,47.254,47.165,47.251,47.282,47.365,47.317,47.256,47.173,21.559,47.356,47.637,47.559,47.625,47.656,47.672,47.568,47.558,47.558,47.512,47.382,47.455,47.445,47.297,47.044,21.698,48.999,0.22,100.355
47.594,47.341,47.414,47.489,47.449,47.46,47.442,47.368,47.322,47.217,47.313,47.333,47.432,47.383,47.321,47.223,21.566,47.428,47.704,47.621,47.676,47.728,47.75,47.631,47.626,47.625,47.576,47.431,47.525,47.505,47.348,47.103,21.694,49.08,0.221,100.356
50.234,47.399,47.474,47.559,47.531,47.51,47.531,47.421,47.386,47.293,47.389,47.407,47.51,47.437,47.368,47.303,21.557,47.496,47.733,47.686,47.74,47.793,47.811,47.685,47.68,47.71,47.652,47.497,47.595,47.556,47.397,47.194,21.704,49.158,0.22,100.354
52.875,47.475,47.545,47.623,47.584,47.584,47.596,47.493,47.454,47.338,47.463,47.489,47.568,47.506,47.449,47.368,21.555,47.549,47.805,47.746,47.809,47.845,47.863,47.765,47.741,47.771,47.717,47.569,47.654,47.632,47.486,47.247,21.685,49.205,0.227,100.353
55.516,47.528,47.599,47.692,47.636,47.643,47.652,47.549,47.509,47.395,47.504,47.532,47.632,47.562,47.522,47.432,21.576,47.606,47.881,47.814,47.883,47.927,47.945,47.839,47.821,47.831,47.781,47.63,47.708,47.681,47.541,47.3,21.688,49.289,0.234,100.353
58.172,47.602,47.665,47.766,47.714,47.713,47.705,47.608,47.575,47.467,47.584,47.613,47.687,47.628,47.57,47.475,21.583,47.668,47.949,47.904,47.947,47.984,47.988,47.888,47.862,47.896,47.834,47.715,47.78,47.751,47.613,47.356,21.698,49.357,0.247,100.352
60.812,47.662,47.726,47.824,47.767,47.781,47.767,47.664,47.634,47.515,47.633,47.658,47.751,47.691,47.629,47.543,21.566,47.726,48.014,47.953,48.015,48.062,48.058,47.95,47.928,47.958,47.912,47.756,47.845,47.806,47.67,47.428,21.681,49.432,0.231,100.351
