Time [s],Ch 1 [C],Ch 2 [C],Ch 3 [C],Ch 4 [C],Ch 5 [C],Ch 6 [C],Ch 7 [C],Ch 8 [C],Ch 9 [C],Ch 10 [C],Ch 11 [C],Ch 12 [C],Ch 13 [C],Ch 14 [C],Ch 15 [C],T_Jet [C],Ch 16 [C],Ch 17 [C],Ch 18 [C],Ch 19 [C],Ch 20 [C],Ch 21 [C],Ch 22 [C],Ch 23 [C],Ch 25 [C],Ch 26 [C],Ch 27 [C],Ch 28 [C],Ch 29 [C],Ch 30 [C],Ch 31 [C],T_ambient [C],T_Heat Flux [C],Heat Flux [W/m^2],P_heater [W]
0,54.951,55.013,55.066,55.105,55.142,55.176,55.105,55.08,55.067,55.097,55.052,55.092,55.052,55.023,55.007,34.333,55.28,55.375,55.362,55.338,55.332,55.304,55.158,55.143,55.178,55.113,55.044,55.085,55.03,54.969,54.898,26.707,55.237,-0.739,0
2.766,54.949,54.997,55.06,55.071,55.11,55.172,55.097,55.088,55.051,55.095,55.022,55.07,55.042,55.013,55.011,34.345,55.27,55.385,55.337,55.323,55.32,55.31,55.16,55.118,55.17,55.105,55.048,55.078,55.026,54.955,54.902,26.716,55.218,-0.798,0
5.406,54.928,54.991,55.064,55.071,55.114,55.164,55.071,55.076,55.035,55.087,55.026,55.07,55.044,55.015,55.009,34.343,55.272,55.373,55.335,55.313,55.306,55.292,55.149,55.12,55.158,55.099,55.034,55.064,55.018,54.937,54.884,26.732,55.221,-0.749,0.292
8.047,54.914,54.989,55.046,55.069,55.102,55.158,55.079,55.072,55.035,55.093,55.022,55.074,55.03,55.001,54.979,34.351,55.246,55.357,55.323,55.297,55.288,55.274,55.131,55.126,55.146,55.085,55.04,55.058,54.998,54.931,54.886,26.729,55.212,-0.75,6.543
10.687,54.91,54.973,55.03,55.059,55.096,55.138,55.069,55.086,55.029,55.085,55.013,55.056,55.021,55.001,54.987,34.357,55.238,55.345,55.313,55.301,55.288,55.255,55.129,55.108,55.144,55.091,55.022,55.06,55.002,54.927,54.862,26.739,55.193,-0.745,22.564
13.328,54.902,54.961,55.014,55.061,55.098,55.148,55.058,55.059,55.025,55.074,55.026,55.04,55.003,54.979,54.985,34.357,55.248,55.339,55.307,55.301,55.284,55.265,55.119,55.082,55.122,55.057,55.016,55.046,54.986,54.921,54.864,26.77,55.19,-0.722,44.844
15.969,54.886,54.967,55.03,55.047,55.083,55.128,55.056,55.041,55.025,55.066,55.003,55.052,55.009,54.979,54.987,34.368,55.238,55.335,55.311,55.285,55.278,55.253,55.109,55.094,55.128,55.073,55.008,55.04,54.99,54.933,54.866,26.761,55.178,-0.7,68.159
18.609,54.902,54.957,55.034,55.049,55.081,55.118,55.034,55.049,55.004,55.072,55.005,55.04,55.005,54.979,54.962,34.368,55.242,55.347,55.303,55.305,55.265,55.241,55.109,55.084,55.136,55.075,55.014,55.04,54.994,54.935,54.876,26.774,55.19,-0.653,80.619
21.25,54.916,54.971,55.062,55.047,55.091,55.114,55.05,55.043,55.018,55.072,55.013,55.066,55.026,54.993,54.999,34.364,55.246,55.377,55.315,55.313,55.316,55.259,55.127,55.098,55.16,55.091,55.01,55.06,55.004,54.961,54.888,26.732,55.221,-0.605,89.822
23.906,54.928,54.989,55.095,55.069,55.096,55.142,55.064,55.068,55.014,55.083,55.046,55.076,55.05,55.025,55.019,34.368,55.278,55.367,55.343,55.325,55.324,55.272,55.149,55.143,55.178,55.099,55.014,55.072,55.026,54.963,54.896,26.761,55.215,-0.539,99.944
26.547,54.934,55.009,55.129,55.081,55.134,55.158,55.091,55.072,55.033,55.097,55.066,55.096,55.076,55.049,55.045,34.378,55.302,55.399,55.354,55.338,55.346,55.322,55.176,55.177,55.209,55.146,55.05,55.105,55.062,54.979,54.902,26.751,55.271,-0.475,101.03
29.187,54.991,55.058,55.194,55.127,55.152,55.211,55.117,55.106,55.045,55.147,55.094,55.147,55.122,55.092,55.094,34.387,55.339,55.429,55.378,55.372,55.391,55.346,55.212,55.201,55.247,55.172,55.103,55.141,55.107,55.022,54.937,26.739,55.343,-0.425,99.96
31.828,55.031,55.104,55.242,55.174,55.184,55.241,55.153,55.138,55.085,55.181,55.139,55.189,55.169,55.142,55.124,34.387,55.379,55.492,55.43,55.44,55.447,55.403,55.256,55.252,55.277,55.22,55.109,55.171,55.137,55.056,54.971,26.742,55.402,-0.371,99.955
34.469,55.068,55.146,55.301,55.226,55.253,55.277,55.198,55.183,55.121,55.222,55.187,55.262,55.227,55.189,55.178,34.382,55.423,55.518,55.465,55.481,55.493,55.445,55.311,55.306,55.328,55.259,55.155,55.236,55.195,55.1,55.019,26.726,55.464,-0.334,99.952
37.125,55.128,55.199,55.345,55.275,55.303,55.314,55.24,55.221,55.154,55.258,55.243,55.294,55.27,55.225,55.233,34.382,55.466,55.565,55.521,55.525,55.548,55.5,55.359,55.346,55.378,55.309,55.208,55.286,55.24,55.151,55.058,26.726,55.539,-0.303,99.95
39.766,55.167,55.233,55.412,55.325,55.348,55.376,55.29,55.283,55.208,55.323,55.276,55.362,55.328,55.273,55.277,34.397,55.522,55.635,55.584,55.596,55.61,55.568,55.414,55.427,55.435,55.376,55.26,55.351,55.325,55.215,55.096,26.726,55.629,-0.266,99.946
42.406,55.237,55.308,55.482,55.39,55.402,55.422,55.363,55.332,55.263,55.367,55.332,55.409,55.371,55.342,55.338,34.393,55.575,55.678,55.642,55.648,55.661,55.625,55.484,55.471,55.515,55.438,55.315,55.407,55.369,55.282,55.159,26.729,55.717,-0.254,99.945
45.047,55.286,55.362,55.531,55.446,55.469,55.489,55.397,55.366,55.313,55.426,55.377,55.467,55.427,55.386,55.384,34.403,55.625,55.724,55.676,55.691,55.715,55.679,55.555,55.532,55.55,55.493,55.365,55.454,55.419,55.306,55.177,26.732,55.801,-0.232,99.944
47.687,55.338,55.429,55.597,55.493,55.527,55.538,55.452,55.439,55.343,55.468,55.459,55.524,55.48,55.441,55.447,34.391,55.684,55.776,55.725,55.753,55.77,55.736,55.607,55.595,55.616,55.545,55.418,55.504,55.484,55.371,55.264,26.71,55.888,-0.172,99.942
50.344,55.384,55.477,55.648,55.559,55.586,55.594,55.502,55.505,55.418,55.52,55.492,55.576,55.54,55.521,55.493,34.412,55.722,55.831,55.773,55.818,55.847,55.812,55.67,55.657,55.671,55.608,55.476,55.561,55.553,55.429,55.304,26.723,55.988,-0.18,99.941
